audio_fileNames,label_fileNames,acoustic_scene_label,events_label_list,preds
bus10_0.wav,bus10_0.jams,bus,"['cough', 'phone', 'keys', 'phone', 'cough', 'speech', 'cough', 'laughter']",bus
bus10_1.wav,bus10_1.jams,bus,"['keys', 'clearthroat', 'laughter', 'keys', 'phone', 'keys', 'phone', 'cough', 'laughter', 'keys', 'laughter', 'laughter']",bus
bus10_2.wav,bus10_2.jams,bus,"['laughter', 'keys', 'phone', 'phone', 'cough', 'phone', 'cough', 'keys', 'laughter', 'clearthroat', 'laughter', 'cough', 'keys']",bus
bus10_3.wav,bus10_3.jams,bus,"['phone', 'keys', 'phone', 'laughter', 'speech', 'cough', 'phone', 'keys', 'keys', 'phone', 'cough', 'keys']",bus
bus10_4.wav,bus10_4.jams,bus,"['laughter', 'keys', 'phone', 'cough', 'clearthroat', 'keys', 'laughter', 'phone', 'cough', 'laughter', 'keys', 'keys', 'keys', 'clearthroat', 'speech', 'laughter', 'clearthroat']",bus
bus10_5.wav,bus10_5.jams,bus,"['clearthroat', 'cough', 'speech', 'cough', 'cough', 'cough', 'keys', 'keys', 'cough', 'keys', 'cough', 'speech', 'cough', 'speech', 'phone', 'keys', 'cough', 'cough']",bus
bus10_6.wav,bus10_6.jams,bus,"['phone', 'phone', 'cough', 'clearthroat', 'cough', 'keys', 'clearthroat', 'speech', 'cough', 'speech']",bus
bus10_7.wav,bus10_7.jams,bus,"['keys', 'speech', 'clearthroat', 'cough', 'keys', 'phone', 'phone', 'keys', 'laughter', 'cough', 'phone', 'keys', 'clearthroat', 'cough', 'clearthroat', 'keys', 'keys', 'speech', 'speech']",bus
bus10_8.wav,bus10_8.jams,bus,"['cough', 'speech', 'cough', 'cough', 'laughter', 'keys', 'phone', 'phone', 'speech', 'phone', 'keys']",bus
bus10_9.wav,bus10_9.jams,bus,"['cough', 'clearthroat', 'phone', 'phone', 'speech', 'cough', 'speech', 'clearthroat', 'clearthroat', 'speech']",bus
bus10_downshift_0.wav,bus10_downshift_0.jams,bus,"['cough', 'phone', 'keys', 'phone', 'cough', 'speech', 'cough', 'laughter']",bus
bus10_downshift_1.wav,bus10_downshift_1.jams,bus,"['keys', 'clearthroat', 'laughter', 'keys', 'phone', 'keys', 'phone', 'cough', 'laughter', 'keys', 'laughter', 'laughter']",bus
bus10_downshift_2.wav,bus10_downshift_2.jams,bus,"['laughter', 'keys', 'phone', 'phone', 'cough', 'phone', 'cough', 'keys', 'laughter', 'clearthroat', 'laughter', 'cough', 'keys']",bus
bus10_downshift_3.wav,bus10_downshift_3.jams,bus,"['phone', 'keys', 'phone', 'laughter', 'speech', 'cough', 'phone', 'keys', 'keys', 'phone', 'cough', 'keys']",bus
bus10_downshift_4.wav,bus10_downshift_4.jams,bus,"['laughter', 'keys', 'phone', 'cough', 'clearthroat', 'keys', 'laughter', 'phone', 'cough', 'laughter', 'keys', 'keys', 'keys', 'clearthroat', 'speech', 'laughter', 'clearthroat']",bus
bus10_downshift_5.wav,bus10_downshift_5.jams,bus,"['clearthroat', 'cough', 'speech', 'cough', 'cough', 'cough', 'keys', 'keys', 'cough', 'keys', 'cough', 'speech', 'cough', 'speech', 'phone', 'keys', 'cough', 'cough']",bus
bus10_downshift_6.wav,bus10_downshift_6.jams,bus,"['phone', 'phone', 'cough', 'clearthroat', 'cough', 'keys', 'clearthroat', 'speech', 'cough', 'speech']",bus
bus10_downshift_7.wav,bus10_downshift_7.jams,bus,"['keys', 'speech', 'clearthroat', 'cough', 'keys', 'phone', 'phone', 'keys', 'laughter', 'cough', 'phone', 'keys', 'clearthroat', 'cough', 'clearthroat', 'keys', 'keys', 'speech', 'speech']",bus
bus10_downshift_8.wav,bus10_downshift_8.jams,bus,"['cough', 'speech', 'cough', 'cough', 'laughter', 'keys', 'phone', 'phone', 'speech', 'phone', 'keys']",bus
bus10_downshift_9.wav,bus10_downshift_9.jams,bus,"['cough', 'clearthroat', 'phone', 'phone', 'speech', 'cough', 'speech', 'clearthroat', 'clearthroat', 'speech']",bus
bus10_upshift_0.wav,bus10_upshift_0.jams,bus,"['cough', 'phone', 'keys', 'phone', 'cough', 'speech', 'cough', 'laughter']",bus
bus10_upshift_1.wav,bus10_upshift_1.jams,bus,"['keys', 'clearthroat', 'laughter', 'keys', 'phone', 'keys', 'phone', 'cough', 'laughter', 'keys', 'laughter', 'laughter']",bus
bus10_upshift_2.wav,bus10_upshift_2.jams,bus,"['laughter', 'keys', 'phone', 'phone', 'cough', 'phone', 'cough', 'keys', 'laughter', 'clearthroat', 'laughter', 'cough', 'keys']",bus
bus10_upshift_3.wav,bus10_upshift_3.jams,bus,"['phone', 'keys', 'phone', 'laughter', 'speech', 'cough', 'phone', 'keys', 'keys', 'phone', 'cough', 'keys']",bus
bus10_upshift_4.wav,bus10_upshift_4.jams,bus,"['laughter', 'keys', 'phone', 'cough', 'clearthroat', 'keys', 'laughter', 'phone', 'cough', 'laughter', 'keys', 'keys', 'keys', 'clearthroat', 'speech', 'laughter', 'clearthroat']",bus
bus10_upshift_5.wav,bus10_upshift_5.jams,bus,"['clearthroat', 'cough', 'speech', 'cough', 'cough', 'cough', 'keys', 'keys', 'cough', 'keys', 'cough', 'speech', 'cough', 'speech', 'phone', 'keys', 'cough', 'cough']",bus
bus10_upshift_6.wav,bus10_upshift_6.jams,bus,"['phone', 'phone', 'cough', 'clearthroat', 'cough', 'keys', 'clearthroat', 'speech', 'cough', 'speech']",bus
bus10_upshift_7.wav,bus10_upshift_7.jams,bus,"['keys', 'speech', 'clearthroat', 'cough', 'keys', 'phone', 'phone', 'keys', 'laughter', 'cough', 'phone', 'keys', 'clearthroat', 'cough', 'clearthroat', 'keys', 'keys', 'speech', 'speech']",bus
bus10_upshift_8.wav,bus10_upshift_8.jams,bus,"['cough', 'speech', 'cough', 'cough', 'laughter', 'keys', 'phone', 'phone', 'speech', 'phone', 'keys']",bus
bus10_upshift_9.wav,bus10_upshift_9.jams,bus,"['cough', 'clearthroat', 'phone', 'phone', 'speech', 'cough', 'speech', 'clearthroat', 'clearthroat', 'speech']",bus
bus1_0.wav,bus1_0.jams,bus,"['speech', 'laughter', 'keys', 'cough', 'speech', 'phone', 'speech', 'clearthroat', 'clearthroat', 'speech', 'laughter', 'speech', 'cough', 'speech', 'phone', 'cough']",bus
bus1_1.wav,bus1_1.jams,bus,"['phone', 'speech', 'laughter']",bus
bus1_2.wav,bus1_2.jams,bus,"['speech', 'speech', 'clearthroat', 'cough', 'clearthroat', 'speech', 'phone', 'laughter', 'cough', 'cough', 'laughter', 'cough', 'cough', 'speech']",bus
